"","word","mRT","acc"
"320","airmail",698.333333333333,0.916666666666667
"321","airman",668,0.666666666666667
"322","airmen",646.733333333333,0.789473684210526
"323","airplane",580.611111111111,0.972972972972973
"324","airplanes",628.6,1
"325","airport",519.025,1
"326","airports",551.8,1
"327","airs",605.783783783784,0.973684210526316
"328","airscrew",669.2,0.25
"329","airship",666.588235294118,0.894736842105263
"330","airships",627.583333333333,0.923076923076923
"331","airsick",681.4,0.625
"332","airspace",662,0.923076923076923
"333","airspeed",885.545454545455,0.578947368421053
"334","airstrip",700.4,0.675675675675676
"335","airstrips",729.676470588235,0.871794871794872
"336","airtight",726.416666666667,0.923076923076923
"337","airway",627,0.973684210526316
"338","airways",617,0.975
"339","airy",634.774193548387,0.815789473684211
"340","aisle",610.361111111111,0.923076923076923
"341","aisles",725.742857142857,0.921052631578947
"342","aitch",889,0.05
"343","aitches",879,0.025
"344","ajar",673.382352941176,0.85
"345","akin",720.615384615385,0.65
"346","al",474.4,0.131578947368421
"347","alack",809.6,0.125
"348","alarm",534.105263157895,1
"349","alarmed",611.621621621622,0.973684210526316
"350","alarms",531.513513513514,0.973684210526316
"351","alas",727.222222222222,0.9
"352","alb",651,0.0256410256410256
"353","albs",610,0.05
"354","album",589.888888888889,0.947368421052632
"355","albums",561.230769230769,0.975
"356","alcove",717.1,0.526315789473684
"357","alcoves",809.161290322581,0.775
"358","alder",796.153846153846,0.342105263157895
"359","alders",771.533333333333,0.375
"360","ale",571.472222222222,0.972972972972973
"361","alehouse",808.222222222222,0.5
"362","alert",540.538461538462,1
"363","alerts",552.944444444444,1
"364","ales",638.472222222222,0.9
"365","alga",688.875,0.2
"366","algae",697.03125,0.8
"367","alias",656.1875,0.864864864864865
"368","alien",529.105263157895,1
"369","aliens",549.078947368421,1
"370","alight",699.636363636364,0.891891891891892
"371","alights",709,0.861111111111111
"372","align",626.5,0.9
"373","aligned",702.057142857143,0.945945945945946
"374","aligns",702.2,0.921052631578947
"375","alike",602.72972972973,0.925
"376","alive",577.815789473684,1
"377","all",529.526315789474,1
"378","allah",803.653846153846,0.722222222222222
"379","allay",672.125,0.41025641025641
"380","allayed",750.95652173913,0.575
"381","allays",807.095238095238,0.525
"382","allege",800.055555555556,0.486486486486487
"383","alleged",619.128205128205,0.975
"384","alley",582.179487179487,0.975
